epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.01274,0.01,5.238193989,0.0061,5.766094208
1,0.042440001,0.01,4.773624897,0.0484,4.720818043
2,0.071699999,0.01,4.471348763,0.074299999,4.459778309
3,0.097070001,0.01,4.262341499,0.102499999,4.201247215
4,0.11541,0.01,4.117173672,0.126900002,4.03980732
5,0.132149994,0.01,3.995489597,0.148300007,3.870859861
6,0.148980007,0.01,3.887327194,0.158700004,3.813119888
7,0.164130002,0.01,3.793219328,0.170699999,3.754546881
8,0.177100003,0.01,3.703626633,0.205699995,3.539274693
9,0.189050004,0.01,3.629739285,0.230100006,3.390530586
10,0.199560001,0.01,3.561280012,0.236100003,3.359395027
11,0.212190002,0.01,3.500340223,0.243599996,3.309875727
12,0.220899999,0.01,3.440694332,0.210800007,3.520635605
13,0.230210006,0.01,3.386456966,0.270700008,3.181139946
14,0.24165,0.01,3.337148666,0.284999996,3.092033386
15,0.249219999,0.01,3.293478966,0.2491,3.278087139
16,0.257910013,0.01,3.249550581,0.290800005,3.059812546
17,0.264990002,0.01,3.205563068,0.28639999,3.083708525
18,0.27294001,0.01,3.167614698,0.298700005,3.033183336
19,0.27956,0.01,3.132543325,0.305299997,3.023688078
20,0.284009993,0.01,3.100404739,0.324699998,2.913971663
21,0.292369992,0.01,3.062870026,0.320100009,2.904393196
22,0.300330013,0.01,3.028859377,0.325100005,2.930896759
23,0.306589991,0.01,2.997966528,0.311199993,3.004702091
24,0.310420007,0.01,2.965332747,0.345099986,2.826007605
25,0.319489986,0.01,2.932761192,0.34889999,2.793072701
26,0.321530014,0.01,2.909471512,0.344000012,2.828716993
27,0.328370005,0.01,2.884455204,0.362399995,2.724871397
28,0.332300007,0.01,2.863832235,0.355500013,2.754295588
29,0.336919993,0.01,2.839752197,0.372900009,2.67242074
30,0.34443,0.01,2.8126266,0.368400007,2.700568914
31,0.34751001,0.01,2.786752701,0.371899992,2.720326662
32,0.350490004,0.01,2.772559643,0.362399995,2.750182867
33,0.35600999,0.01,2.747419596,0.372000009,2.690079927
34,0.360100001,0.01,2.731039047,0.375999987,2.672436237
35,0.365500003,0.01,2.708209276,0.388399988,2.64207983
36,0.368259996,0.01,2.693624973,0.390300006,2.605132341
37,0.371329993,0.01,2.674048424,0.393700004,2.582246065
38,0.373180002,0.01,2.654836178,0.390399992,2.598900557
39,0.378149986,0.01,2.638661623,0.394600004,2.595047474
40,0.382180005,0.01,2.621699572,0.409999996,2.501666546
41,0.381099999,0.01,2.609239101,0.412499994,2.530076265
42,0.388280004,0.01,2.588193417,0.402200013,2.542481899
43,0.391460001,0.01,2.572908163,0.394400001,2.599203825
44,0.395330012,0.01,2.563582659,0.406199992,2.552329302
45,0.398580015,0.01,2.545072317,0.415800005,2.479973316
46,0.399190009,0.01,2.534636021,0.421000004,2.499097347
47,0.402260005,0.01,2.518373489,0.413899988,2.528922081
48,0.406890005,0.01,2.503200054,0.420399994,2.496498108
49,0.408600003,0.01,2.496183872,0.417899996,2.527773619
50,0.410420001,0.01,2.47740984,0.423700005,2.486065865
51,0.413780004,0.01,2.465915442,0.420399994,2.500691891
52,0.417320013,0.01,2.450898886,0.424699992,2.48580575
53,0.417869985,0.01,2.442719698,0.448199987,2.382336855
54,0.421490014,0.01,2.429908037,0.431499988,2.455661297
55,0.422650009,0.01,2.427584887,0.425500005,2.490124226
56,0.426090002,0.01,2.409569263,0.436500013,2.41929388
57,0.428119987,0.01,2.398183584,0.425000012,2.488501787
58,0.429479986,0.01,2.387108564,0.416700006,2.54809618
59,0.432090014,0.01,2.380894661,0.440100014,2.417680979
60,0.43441999,0.01,2.364035606,0.438699991,2.433203697
61,0.439590007,0.01,2.357669115,0.443300009,2.410955429
62,0.439319998,0.01,2.347094297,0.43720001,2.442649126
63,0.461490005,0.005,2.244078636,0.4639,2.312647343
64,0.465939999,0.005,2.226742744,0.464100003,2.298254967
65,0.467119992,0.005,2.210603237,0.460200012,2.311262608
66,0.46983999,0.005,2.203479052,0.470400006,2.29884553
67,0.472979993,0.005,2.190643549,0.466399997,2.304005861
68,0.472180009,0.005,2.189223528,0.471700013,2.303136587
69,0.472840011,0.005,2.187024832,0.468199998,2.29852581
70,0.47536999,0.005,2.173888445,0.467000008,2.30495286
71,0.475890011,0.005,2.169269323,0.478599995,2.249341965
72,0.476170003,0.005,2.162615061,0.472200006,2.304151773
73,0.477880001,0.005,2.159953833,0.461199999,2.324151516
74,0.479510009,0.005,2.147699356,0.470800012,2.281734943
75,0.481130004,0.005,2.148735046,0.469099998,2.307472944
76,0.481530011,0.005,2.139224768,0.474799991,2.282176495
77,0.481779993,0.005,2.141661406,0.468499988,2.312487841
78,0.485469997,0.005,2.125582933,0.479499996,2.271646976
79,0.485659987,0.005,2.121698141,0.476900011,2.28622508
80,0.484270006,0.005,2.120272398,0.465700001,2.313341379
81,0.486409992,0.005,2.110762596,0.4727,2.303915262
82,0.48921001,0.005,2.103633642,0.469000012,2.303552389
83,0.487300009,0.005,2.105465412,0.477999985,2.283713341
84,0.489569992,0.005,2.10055089,0.479299992,2.27479291
85,0.490770012,0.005,2.095879793,0.470999986,2.311331987
86,0.492210001,0.005,2.092236757,0.474400014,2.294062853
87,0.492520005,0.005,2.084016323,0.47299999,2.304447412
88,0.50624001,0.0025,2.024885416,0.482600003,2.258700371
89,0.509119987,0.0025,2.009430408,0.486400008,2.244666815
90,0.511110008,0.0025,1.999424696,0.488700002,2.24038291
91,0.513000011,0.0025,1.991129518,0.484100014,2.250567913
92,0.511969984,0.0025,1.991213441,0.487899989,2.247415066
93,0.512830019,0.0025,1.989028096,0.484299988,2.260241508
94,0.514779985,0.0025,1.98699379,0.490700006,2.235558987
95,0.515150011,0.0025,1.979160309,0.4912,2.239350557
96,0.515429974,0.0025,1.978189588,0.489800006,2.246105433
97,0.515070021,0.0025,1.972167492,0.486999989,2.262279987
98,0.515470028,0.0025,1.970159411,0.488499999,2.240525723
99,0.517499983,0.0025,1.961530566,0.490200013,2.223209381
100,0.519050002,0.0025,1.960397482,0.488799989,2.24270606
101,0.516990006,0.0025,1.957982779,0.494800001,2.236552715
102,0.518100023,0.0025,1.958477497,0.490099996,2.245280743
103,0.520449996,0.0025,1.945834875,0.48969999,2.239364862
104,0.519529998,0.0025,1.954453111,0.485000014,2.278808832
105,0.520550013,0.0025,1.943846583,0.490399987,2.243913412
106,0.524399996,0.0025,1.941353798,0.493400007,2.238668442
107,0.521690011,0.0025,1.942603588,0.488200009,2.240181208
108,0.522840023,0.0025,1.938616395,0.495000005,2.224039078
109,0.522329986,0.0025,1.938385725,0.49059999,2.261646986
110,0.520739973,0.0025,1.939043164,0.49180001,2.241866112
111,0.524550021,0.0025,1.93277061,0.487199992,2.263456345
112,0.525879979,0.0025,1.924121261,0.490799993,2.267794371
113,0.526109993,0.0025,1.922714472,0.487599999,2.271384478
114,0.527390003,0.0025,1.919094563,0.489399999,2.254566431
115,0.525919974,0.0025,1.919528246,0.488499999,2.260364771
116,0.527509987,0.0025,1.917227626,0.495299995,2.227573633
117,0.527180016,0.0025,1.916919827,0.493999988,2.254270792
118,0.52838999,0.0025,1.91082716,0.4912,2.236313581
119,0.529389977,0.0025,1.911823273,0.491100013,2.237946272
120,0.529470026,0.0025,1.901900172,0.492599994,2.244850874
121,0.530579984,0.0025,1.895919323,0.493800014,2.250297785
122,0.528680027,0.0025,1.901657939,0.494399995,2.238972664
123,0.529240012,0.0025,1.898227453,0.491100013,2.251636028
124,0.529619992,0.0025,1.897285581,0.491400003,2.242536306
125,0.530210018,0.0025,1.896220326,0.499599993,2.213284731
126,0.531769991,0.0025,1.888005257,0.493299991,2.251420021
127,0.531409979,0.0025,1.887665153,0.492399991,2.240889549
128,0.534680009,0.0025,1.881569743,0.494599998,2.222687483
129,0.533990026,0.0025,1.88360405,0.496800005,2.246269226
130,0.533410013,0.0025,1.879317999,0.493800014,2.253401279
131,0.5352,0.0025,1.876298785,0.494899988,2.228972435
132,0.534200013,0.0025,1.873571873,0.493600011,2.227275848
133,0.536270022,0.0025,1.867408156,0.494800001,2.239744186
134,0.535399973,0.0025,1.870145917,0.495400012,2.248601437
135,0.545409977,0.00125,1.826208234,0.498600006,2.215671301
136,0.548979998,0.00125,1.812337756,0.50150001,2.222246408
137,0.547240019,0.00125,1.814498067,0.500100017,2.219958067
138,0.548280001,0.00125,1.815995455,0.502399981,2.210864305
139,0.548349977,0.00125,1.811537027,0.502600014,2.228843451
140,0.550069988,0.00125,1.807756424,0.499199986,2.23035574
141,0.550650001,0.00125,1.805281401,0.497500002,2.231065273
142,0.551299989,0.00125,1.797656536,0.499799997,2.236945391
143,0.551460028,0.00125,1.801742554,0.497500002,2.24459672
144,0.548500001,0.00125,1.80272615,0.499799997,2.233375072
145,0.550979972,0.00125,1.797804117,0.499500006,2.237071514
146,0.552619994,0.00125,1.791032195,0.50029999,2.241535664
147,0.553070009,0.00125,1.789523244,0.504999995,2.222005129
148,0.553610027,0.00125,1.786974549,0.502300024,2.230424881
149,0.55339998,0.00125,1.786647916,0.501800001,2.219482899
150,0.554019988,0.00125,1.786839366,0.49970001,2.23849678
151,0.553539991,0.00125,1.789654374,0.504999995,2.214940548
152,0.553640008,0.00125,1.783722758,0.499799997,2.230086088
153,0.556680024,0.00125,1.777889013,0.504199982,2.226875305
154,0.554880023,0.00125,1.782821417,0.502499998,2.237986088
155,0.555180013,0.00125,1.778168559,0.503400028,2.228590012
156,0.557749987,0.00125,1.774412513,0.498199999,2.232934237
157,0.559750021,0.000625,1.755999565,0.504700005,2.226193666
158,0.559599996,0.000625,1.751775622,0.503000021,2.226370096
159,0.56054002,0.000625,1.751185179,0.503499985,2.227746964
160,0.56151998,0.000625,1.74928093,0.505299985,2.218179226
161,0.561439991,0.000625,1.749406219,0.504400015,2.219926834
162,0.56200999,0.000625,1.742827654,0.503300011,2.218276739
163,0.561179996,0.000625,1.74298048,0.504000008,2.230325222
164,0.564040005,0.000625,1.740185142,0.504599988,2.222255945
165,0.563440025,0.000625,1.742545962,0.501800001,2.229255199
166,0.563510001,0.000625,1.737985253,0.501999974,2.229858398
167,0.563160002,0.000625,1.74166286,0.504499972,2.214069128
168,0.563030005,0.000625,1.743745923,0.504199982,2.224845171
169,0.56291002,0.000625,1.736324072,0.504800022,2.225429296
170,0.56615001,0.0003125,1.722884655,0.503499985,2.228795528
171,0.566649973,0.0003125,1.723360896,0.502799988,2.223384857
172,0.566799998,0.0003125,1.716393471,0.504800022,2.22525382
173,0.565840006,0.0003125,1.72238791,0.504899979,2.225391865
174,0.568260014,0.0003125,1.716685891,0.505699992,2.219924927
175,0.569779992,0.0003125,1.719620943,0.505800009,2.216960192
176,0.569639981,0.0003125,1.715724349,0.504000008,2.218234062
177,0.57062,0.0003125,1.71179378,0.506500006,2.217324495
178,0.569989979,0.0003125,1.71602416,0.504199982,2.223062992
179,0.566309988,0.0003125,1.718835473,0.503499985,2.226233721
180,0.566160023,0.0003125,1.723662615,0.504999995,2.221264601
181,0.569500029,0.0003125,1.715727091,0.504199982,2.228654623
182,0.568449974,0.0003125,1.71279037,0.505299985,2.218993664
183,0.566299975,0.0003125,1.715245605,0.505900025,2.220825195
184,0.569620013,0.0003125,1.714019418,0.505500019,2.223536968
185,0.571370006,0.0003125,1.712576389,0.506399989,2.217236996
186,0.569060028,0.0003125,1.710658312,0.501600027,2.224622965
187,0.57062,0.00015625,1.712249637,0.506099999,2.217126369
188,0.570559978,0.00015625,1.705524206,0.504899979,2.226065159
189,0.572250009,0.00015625,1.70019722,0.506399989,2.22426033
190,0.572420001,0.00015625,1.704119682,0.505800009,2.217582703
191,0.571879983,0.00015625,1.70849669,0.506900012,2.216552973
192,0.572570026,0.00015625,1.706180811,0.505800009,2.218656063
193,0.572109997,0.00015625,1.702362299,0.507000029,2.216774702
194,0.570940018,0.00015625,1.702922225,0.506699979,2.224820614
195,0.571739972,0.00015625,1.701692224,0.50880003,2.218753815
196,0.572979987,0.00015625,1.70377326,0.507799983,2.220721006
197,0.573189974,0.00015625,1.700915813,0.506399989,2.217661619
